"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COPYRIGHT";"CUI_PURCHASE_URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"8MHZ_OSC";"ECS-80-18-5PXDN-TR";"ECS-80-18-5PXDN-TR";"XTAL_ECS-80-18-5PXDN-TR";"CRYSTAL SMD";"";"";"";" 8 MHz ±30ppm Crystal 18pF 60 Ohms HC-49/US ";"XC1297CT-ND";"";"";"";"";"";"ECS Inc.";"";"ECS-80-18-5PXDN-TR";"HC49/US ECS International";"";"";"https://pricing.snapeda.com/search/part/ECS-80-18-5PXDN-TR/?ref=eda";"";
"BATTERY-CONNECTOR";"B3B-PH-SM4-TB(LF)(SN)";"B3B-PH-SM4-TB(LF)(SN)";"JST_B3B-PH-SM4-TB(LF)(SN)";"PH Series 3 Position 2 mm Pitch Crimp Surface Mount Top Entry Shrouded Header";"";"";"";" Connector Header Surface Mount 3 position 0.079 (2.00mm) ";"455-1735-1-ND";"";"";"";"";"";"JST Sales";"";"B3B-PH-SM4-TB(LF)(SN)";"None";"";"";"https://pricing.snapeda.com/search/part/B3B-PH-SM4-TB(LF)(SN)/?ref=eda";"";
"BATTERY_LOW";"RED";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20";"";"";"";
"C1";"6pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C2";"6pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C3";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C4";"18pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C5";"18pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C6";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C7";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C8";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C9";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C10";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C11";"22uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C12";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C13";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C14";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C15";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C16";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C17";"68pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C18";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C19";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C20";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C21";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C22";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C23";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C24";"18pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C25";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C26";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C27";"68pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C28";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C29";"68pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C30";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C31";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C32";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C33";"68pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C34";"68pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"C35";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"CA";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"CR1";"1N4001-E3/73";"1N4001-E3/73";"DO-204AL_VIS";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"1N4001-E3/73GICT-ND";"1N4001-E3/73GITB-ND";"";"";"1N4001-E3/73";"";"Vishay";"";"";"";"";"";"C";
"CR3";"CUS10S30";"CUS10S30";"USC_TOS";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"";"";"CUS10S30H3FCT-ND";"CUS10S30H3FDKR-ND";"CUS10S30H3FTR-ND";"";"CUS10S30";"";"Toshiba Electronic Devices & Storage Co.";"";"";"";"";"";"";
"CS";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"C";
"FERRITE_BEAD";"80";"L-USL3216C";"L3216C";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"L";
